timestamp,correct,conceptual_score,time_taken,hint_used,proficiency,accuracy,reward
2025-12-18T23:57:19.245378,1,0.18,60,0,medium,1.0,1.36
2025-12-19T01:02:21.922502,1,0.18,60,0,medium,1.0,1.36
2025-12-19T01:16:30.501267,1,0.18,60,0,medium,1.0,1.36
2025-12-19T01:19:06.142987,1,0.18,60,0,medium,1.0,1.36
2025-12-19T01:19:45.563884,1,0.18,60,0,medium,1.0,1.36
2025-12-19T17:34:34.375768,1,0.228,60,0,medium,1.0,1.456
2025-12-19T17:34:52.190925,1,0.077,60,0,medium,1.0,1.154
2025-12-19T17:41:23.009497,1,0.067,60,0,low,1.0,1.134
2025-12-19T17:41:57.561808,1,0.1,60,0,low,1.0,1.2
2025-12-19T17:42:01.347286,1,0.043,60,0,low,1.0,1.086
2025-12-19T17:42:05.215088,1,0.054,60,0,low,1.0,1.108
2025-12-19T17:42:08.943960,1,0.048,60,0,low,1.0,1.096
2025-12-19T22:58:37.495093,1,0.05,60,0,high,1.0,1.1
2025-12-19T22:58:43.188864,1,0.067,60,0,high,1.0,1.134
2025-12-19T22:58:43.200778,1,0.067,60,0,high,1.0,1.134
2025-12-19T22:58:46.571807,1,0.043,60,0,high,1.0,1.086
2025-12-19T22:58:50.311883,1,0.104,60,0,high,1.0,1.208
2025-12-19T22:58:53.630519,1,0.012,60,0,high,1.0,1.024
2025-12-19T22:59:02.153690,1,0.055,60,0,high,1.0,1.11
2025-12-19T22:59:07.292022,1,0.057,60,0,high,1.0,1.114
2025-12-19T22:59:07.301702,1,0.057,60,0,high,1.0,1.114
2025-12-19T22:59:13.763470,1,0.073,60,0,high,1.0,1.146
2025-12-19T22:59:23.616283,1,0.015,60,0,high,1.0,1.03
2025-12-19T23:00:38.524446,1,0.131,60,0,high,1.0,1.262
2025-12-19T23:00:41.849002,1,0.131,60,0,high,1.0,1.262
2025-12-19T23:00:45.191996,1,0.093,60,0,high,1.0,1.186
2025-12-19T23:00:48.403486,1,0.016,60,0,high,1.0,1.032
2025-12-20T00:06:43.910674,1,0.218,60,0,medium,1.0,3.154
2025-12-20T00:07:10.600333,1,0.218,60,0,medium,1.0,3.154
2025-12-20T00:07:14.390786,0,0.218,60,0,medium,0.75,-1.546
2025-12-20T00:07:32.420213,1,0.218,60,0,high,0.8,3.654
2025-12-20T00:07:58.656378,0,0.218,60,0,medium,0.667,-3.346
2025-12-20T00:08:01.590519,0,0.218,60,0,low,0.571,-3.346
2025-12-20T00:08:03.890605,0,0.218,60,0,low,0.5,-3.346
2025-12-20T00:08:09.343569,0,0.218,60,0,low,0.444,-1.846
2025-12-20T00:08:15.231308,0,0.218,60,0,low,0.4,-1.846
2025-12-20T00:08:18.631905,0,0.218,60,0,low,0.364,-3.346
2025-12-20T00:08:22.622894,0,0.218,60,0,low,0.333,-1.546
2025-12-20T00:08:26.637738,1,0.218,60,0,low,0.385,3.154
2025-12-20T00:12:12.407443,1,0.0,60,0,medium,1.0,2.5
2025-12-20T00:12:18.791046,1,0.0,60,0,medium,1.0,2.5
2025-12-20T00:12:22.310217,0,0.0,60,0,medium,0.75,-2.2
2025-12-20T00:12:30.630166,0,0.0,60,0,medium,0.6,-2.5
2025-12-20T00:12:35.805531,0,0.0,60,0,low,0.5,-2.5
2025-12-20T00:12:40.158235,0,0.0,60,0,low,0.429,-2.2
2025-12-20T00:12:45.568226,0,0.0,60,0,low,0.375,-4.0
2026-01-17T13:47:22.821933,1,0.0,60,0,medium,1.0,2.5
2026-01-17T13:47:33.271858,0,0.0,60,0,medium,0.667,-2.2
2026-01-17T13:47:36.120944,0,0.0,60,0,low,0.5,-2.5
2026-01-17T13:47:41.471794,0,0.0,60,0,low,0.4,-2.2
2026-01-17T13:47:43.970723,0,0.0,60,0,low,0.333,-4.0
2026-01-17T13:47:46.158821,0,0.0,60,0,low,0.286,-4.0
2026-01-17T13:47:50.568578,0,0.0,60,0,low,0.25,-2.5
2026-01-17T13:48:03.203201,0,0.0,60,0,low,0.222,-2.2
2026-01-17T13:48:06.101588,0,0.0,60,0,low,0.2,-2.2
2026-01-17T13:48:09.083957,0,0.0,60,0,low,0.182,-4.0
2026-01-17T13:48:11.010464,0,0.0,60,0,low,0.167,-2.2
